timestamp,subcarrier_0,subcarrier_1,subcarrier_2,subcarrier_3,subcarrier_4,subcarrier_5,subcarrier_6,subcarrier_7,subcarrier_8,subcarrier_9,subcarrier_10,subcarrier_11,subcarrier_12,subcarrier_13,subcarrier_14,subcarrier_15,subcarrier_16,subcarrier_17,subcarrier_18,subcarrier_19,subcarrier_20,subcarrier_21,subcarrier_22,subcarrier_23,subcarrier_24,subcarrier_25,subcarrier_26,subcarrier_27,subcarrier_28,subcarrier_29,subcarrier_30,subcarrier_31,subcarrier_32,subcarrier_33,subcarrier_34,subcarrier_35,subcarrier_36,subcarrier_37,subcarrier_38,subcarrier_39,subcarrier_40,subcarrier_41,subcarrier_42,subcarrier_43,subcarrier_44,subcarrier_45,subcarrier_46,subcarrier_47,subcarrier_48,subcarrier_49
2025-03-14T10:48:51.176724,32,8,0,29,-31,28,-29,26,-27
2025-03-14T10:48:56.097503,-96,4,0,-21,29,-19,29,-16,28
2025-03-14T11:17:30.804290,32,8,0,3,-12,-1,-8,-4,-3
2025-03-14T11:17:31.156568,-96,4,0,-12,3,-6,4,-1,4
2025-03-14T11:17:31.158568,32,8,0,8,-9,3,-7,-2,-4
2025-03-14T11:17:31.161565,32,8,0,-8,11,-3,7,1,3
2025-03-14T11:17:31.163570,32,8,0,17,4,12,2,6,1
2025-03-14T11:17:31.166565,32,8,0,8,-17,5,-13,2,-7
2025-03-14T11:17:31.168565,32,8,0,-13,-11,-10,-8,-6,-4
2025-03-14T11:17:31.170562,32,8,0,17,-1,13,-1,7,-1
2025-03-14T11:17:31.172565,32,8,0,8,-19,5,-14,3,-9
2025-03-14T11:17:31.174562,32,8,0,-7,-16,-7,-12,-6,-8
2025-03-14T11:17:31.177568,32,8,0,10,-15,6,-13,3,-10
2025-03-14T11:17:35.847590,-96,4,0,12,-11,7,-11,1,-11
2025-03-14T11:19:10.208120,-15,22,0,2,-1,1,-1,0,-1
